,Tweet ID,Sentiment,Tweet Text,Tweet Label
0,1192921889066438657,neutral,Check out my listing in ChapelHill NC realestate realtor,0
1,1192921882242306048,positive,Mary Stapleton would love to show you the listing at 696 Gentile Rd Stephentown NY realestate,1
2,1192921882149969925,positive,Happy FantasyHomeFriday Check out this dreamy kitchen for some Friday afternoon inspiration remax,1
3,1192921849870659585,negative,RT Password update go away come again some other day but today is THAT day Time to spiff up your password protection,-1
4,1192921830270615552,neutral,PopUp RealEstate Lease BeckerFTL,0
5,1192921815250804742,neutral,RT Tips for a Timely Closing when Selling your Home via realestate,0
6,1192921804827967488,positive,FreeCodeFridayContest realestate NationalSTEMDay b2b realtor broker Let s meet with Real Estate Lead genera,1
7,1192921716533727232,positive,RT Three Baltimore area neighborhoods among 10 hottest and affordable in U S Northeast Baltimore in general h,1
8,1192921650360147969,positive,Karla Davis would love to show you the listing at Lot 4 Greenbelt Trail Subdivsion NorthLiberty IA realestate,1
9,1192921645008195584,neutral,Check out my listing in MarathonTwp MI realestate realtor,0
10,1192921639614341122,neutral,Check out our listing in Martinsburg WV realestate realtor,0
11,1192921632974790659,neutral,See a virtual tour of our listing on ON Cove Ridge Dr Lot 9 Antigo WI realestate,0
12,1192921622635798528,neutral,CENTURY 21 House of Realty Inc Check out our listing in Marion IL realestate realtor,0
13,1192921597717491715,neutral,See a virtual tour of my listing on 2579 Hatfield Cir Atlanta GA realestate,0
14,1192921580185235456,positive,I would love to show you my listing at 3863 Steinhauer Rd Marietta GA realestate Rand,1
15,1192921572622962688,neutral,I am looking for a buyer on 5648 NW 37th Lane Road Ocala FL realestate,0
16,1192921557506543616,neutral,RT plus realestate designers followmeJP sougofollow news twiNAGOYA nagoya,0
17,1192921518763859968,neutral,Officials move to raze Mohamed Hadid s Bel Air spec mansion realestate,0
18,1192921506571005952,positive,Another beautiful home in Leeland Woods under contract this week MLS RealEstate NewConstruction NewHome,1
19,1192921480524259328,positive,This would make a great first home or be your next cash cow For a private tour call 330 252 9044,1
20,1192921475482836993,positive,Full service agency with a dedicated digital marketing team Listing Presentations Digital Marketing Staging,1
21,1192921459766841344,negative,Three times a day they change the mat it s the small things nar2019 realtorlife realestate johngulikerteam,-1
22,1192921429236502528,positive,CENTURY 21 House of Realty Inc Jeanie Blue would love to show you the listing at 2655 Raintree Road Harrisburg,1
23,1192921374966341633,neutral,See what this home has to offer Contact me for a showing today homesforsale realestate,0
24,1192921367005585408,neutral,We are looking for a buyer on 8541 Cherry Hill Jordan Drive Road SuperiorTwp MI realestate,0
25,1192921361431302144,neutral,See a virtual tour of my listing on 2112 Hyde Park Drive Street Detroit MI realestate,0
26,1192921355441909761,neutral,See a virtual tour of our listing on XX Bear Creek Road PinosAltos NM realestate,0
27,1192921349737590784,positive,See a virtual tour of our listing on 2596 GRAND CYPRESS BLVD PalmHarbor FL realestate,1
28,1192921345820168192,positive,If your closets didn t come with shelving fear not Making your own is easy HoustonTX realestate buyahome,1
29,1192921341978169344,neutral,See a virtual tour of my listing on 201 E Ocean Drive 102 KeyColony FL realestate,0
30,1192921333241466880,neutral,See a virtual tour of my listing on 1915 56th Street DesMoines IA realestate,0
31,1192921326614388737,neutral,We are looking for a buyer on GENTILE RD EastNassau NY realestate,0
32,1192921320058769410,neutral,Check out our listing in Anderson SC realestate realtor,0
33,1192921313314267138,positive,Can flipping properties be a profitable endeavor Read more to find out realestate fixerupper,1
