,Tweet ID,Sentiment,Tweet Text,Tweet Label
0,1.19264E+18,negative,Raiders are leading because Phillip Rivers is keeping both teams in the game Raiders Chargers FoxSportsRadio,-1
1,1.19264E+18,negative,RT They will always be the San Diego Chargers so long as we continue to call them the San Diego Chargers You are who we say,-1
2,1.19264E+18,negative,RT That didn t take long SanDiego Chargers LACvsOAK,-1
3,1.19264E+18,positive,RT A long sustained drive by the Chargers pays off with a TD by Hunter Henry LACvsOAK TNF,1
4,1.19264E+18,positive,Halftime of the raiders vs the chargers on fox John Cena just said we may see him in SmackdownOnFOX ring very,1
5,1.19264E+18,neutral,RT Howie said it again SanDiego Chargers LACvsOAK TNFonFOX,0
6,1.19264E+18,neutral,Based off the suit i think Steve Harvey commentating in Thursday Night Football ThursdayNightFootball NFL Raiders Chargers,0
7,1.19264E+18,neutral,RT Philip Rivers under pressure 0 3 2 INT 2 sacks Philip Rivers not under pressure 9 11 95 yards TD All 5 pressures by,0
8,1.19264E+18,positive,San Diego chargers It s alright Howie I m old school too fouts,1
9,1.19264E+18,negative,RT mike99 RUN THE BALL chargers,-1
10,1.19264E+18,negative,HALFTIME 2nd half line Chargers Total 24 What you got Bet here,-1
11,1.19264E+18,positive,National media members throwing around San Diego Chargers like it s 2016 never gets old Those colors belong to the 619,1
12,1.19264E+18,negative,Don t make fun of my team football chargers LAChargers oaklandraiders raiders,-1
13,1.19264E+18,negative,Chargers just need to beat a 1 spread and are trying to give the game away smh,-1
14,1.19264E+18,neutral,RT Howie said it again SanDiego Chargers LACvsOAK TNFonFOX,0
15,1.19264E+18,neutral,Howie said it again SanDiego Chargers LACvsOAK TNFonFOX,0
16,1.19264E+18,positive,RT LACvsOAK 1st Half Observations E Harris must ve been studying film and saw a tendency that he wants to take advantage,1
17,1.19264E+18,neutral,RT Philip Rivers under pressure 0 3 2 INT 2 sacks Philip Rivers not under pressure 9 11 95 yards TD All 5 pressures by,0
18,1.19264E+18,neutral,RT Philip Rivers under pressure 0 3 2 INT 2 sacks Philip Rivers not under pressure 9 11 95 yards TD All 5 pressures by,0
19,1.19264E+18,negative,These refs are fucked Oakland Raiders RaiderNation Chargers P s why can t the nrl be like the nfl and have,-1
20,1.19264E+18,negative,RT Carr to Ingold for the touchdown Penalty flag is down Chargers 14 Raiders 10 LACvsOak RaiderNation BoltUp,-1
21,1.19264E+18,neutral,estat sticas da partida Chargers Rivers 9 14 95 jardas lan adas 1td 2int rating 68 15 Raiders Carr 10,0
22,1.19264E+18,neutral,DeanSpanos everytime they call them San Diego Chargers,0
23,1.19264E+18,negative,RT HALF Raiders 17 Chargers 14 Philip Rivers has thrown four interceptions Only two of them have counted The Raiders,-1
24,1.19264E+18,negative,Howie Long just said San Diego referring to the Chargers which we ALL have done What is the over under on the,-1
25,1.19264E+18,neutral,Chargers forgot this RaiderNation TNF TNFonPrime TNFonFOX Chargers LACvsOAK,0
26,1.19264E+18,negative,TNF ThursdayNightFootball LACvsOAK OAKvsLAC 2nd half NFL recommendation between Chargers vs Raiders CHARGERS 1 2 OVER 24,-1
27,1.19264E+18,neutral,Who have you all got to take the W Chargers or Raiders TNF TNFonPrime NFL NFLUK,0
28,1.19264E+18,positive,RT ONE LUCKY PERSON WHO RETWEETS THIS RIGHT NOW WILL WIN MY THURSDAY NIGHT FOOTBALL PARLAY ALSO GIVING AWAY FLAG AND A CUM TO,1
29,1.19264E+18,neutral,RT I can t believe the refs picked up a flag for the Raiders Raiders 10 Chargers 0 LACvsOak RaiderNation BoltUp,0
30,1.19264E+18,neutral,RT If Austin Ekeler s TD in Nashville was overturned this one should be too Chargers,0
31,1.19264E+18,neutral,RT Philip Rivers under pressure 0 3 2 INT 2 sacks Philip Rivers not under pressure 9 11 95 yards TD All 5 pressures by,0
32,1.19264E+18,neutral,LACvsOAK Chargers Raiders TNF MelvinGordon TD,0
33,1.19264E+18,negative,RT Chargers INJURY UPDATE Melvin Ingram shoulder is questionable to return TNF,-1
34,1.19264E+18,positive,If they could go back do you think the Chargers keep Drew Brees or are they happy with what Phillip Rivers has done,1
35,1.19264E+18,negative,Rivers and Chargers take over in the second half At least I hope since I started Rivers in fantasy football this week,-1
36,1.19264E+18,positive,Another San Diego Chargers reference lol I count 4,1
37,1.19264E+18,neutral,Raiders Chargers halftime update Philip Rivers 9 14 95 passing yards 1 TD 2 INT Melvin Gordon 15 carrie,0
38,1.19264E+18,neutral,RT Philip Rivers under pressure 0 3 2 INT 2 sacks Philip Rivers not under pressure 9 11 95 yards TD All 5 pressures by,0
39,1.19264E+18,neutral,RT Philip Rivers under pressure 0 3 2 INT 2 sacks Philip Rivers not under pressure 9 11 95 yards TD All 5 pressures by,0
40,1.19264E+18,neutral,I will always call the Chargers San Diego,0
41,1.19264E+18,neutral,RT Philip Rivers under pressure 0 3 2 INT 2 sacks Philip Rivers not under pressure 9 11 95 yards TD All 5 pressures by,0
42,1.19264E+18,neutral,RT Philip Rivers under pressure 0 3 2 INT 2 sacks Philip Rivers not under pressure 9 11 95 yards TD All 5 pressures by,0
43,1.19264E+18,negative,Raiders 1 5 got a TD pass from Derek Carr to rookie FB Alec Ingold in the final minute of the half to wrestle b,-1
44,1.19264E+18,negative,I don t care if the Chargers go 2 14 every season they re still my Bolts but I expect those 2 to be against the fucking Raiders,-1
45,1.19264E+18,neutral,Philip Rivers under pressure 0 3 2 INT 2 sacks Philip Rivers not under pressure 9 11 95 yards TD All 5 pre,0
46,1.19264E+18,negative,RT Chargers DE Melvin Ingram is down on the field,-1
47,1.19264E+18,neutral,The lead between Raiders and Chargers keeps goi,0
48,1.19264E+18,positive,RT Ingram headed straight to the locker room but walking on his own power Chargers LACvsOAK,1
49,1.19264E+18,positive,NFL Free Play 2H Raiders 5 NFL TNF Chargers Raiders TheBackdoorBandits,1
50,1.19264E+18,positive,Mel Gordon looking like Mel Gordon the past two weeks Given his ADP he could be a league winner for many Chargers,1
51,1.19264E+18,positive,RT Notes Robbie Gould s strained quad is not serious source said and certainly not considered long term Chase McLaughlin f,1
52,1.19264E+18,negative,RT HALF Raiders 17 Chargers 14 Philip Rivers has thrown four interceptions Only two of them have counted The Raiders,-1
53,1.19264E+18,negative,Started bad turned out to be a decent football game I m Keats down for that TNF NFL Raiders Chargers,-1
54,1.19264E+18,neutral,RT Termina la primera mitad y los Raiders est n al frente 17 14 ante los Chargers TNF LACvsOAK,0
55,1.19264E+18,negative,Oh they were the bomb swimming in cheese when I tweet swimming I mean the deep end You have to cover that carboard,-1
56,1.19264E+18,neutral,Termina la primera mitad y los Raiders est n al frente 17 14 ante los Chargers TNF LACvsOAK,0
57,1.19264E+18,negative,Philip rivers just tossing passes like I throw out drunk texts Chargers,-1
58,1.19264E+18,neutral,I just keep saying the mantra There s a lot of football left Plus have said the Act Of Contrition 28 times tod,0
59,1.19264E+18,negative,RT HALF Raiders 17 Chargers 14 Philip Rivers has thrown four interceptions Only two of them have counted The Raiders,-1
60,1.19264E+18,negative,We shall forget abt the 1st qtr Never happened We are 14 7 up Lets beat the crap outta them in th,-1
61,1.19264E+18,positive,STATS UPDATE Including tonight have now outscored opponents 58 52 6 in the first half of road games,1
62,1.19264E+18,neutral,Se acaba la primera mitad y antes de finalizar el segundo cuarto los RAIDERS vuelven a ponerse al frente Raiders,0
63,1.19264E+18,neutral,HT RaiderNation 17 Chargers 14 Oakland is currently COVERING their 1 5 point spread against BoltUp while loo,0
64,1.19264E+18,negative,RT HALF Raiders 17 Chargers 14 Philip Rivers has thrown four interceptions Only two of them have counted The Raiders,-1
65,1.19264E+18,neutral,RT Who goes home with the W tonight NFL100 TNFonPrime chargers raiders,0
66,1.19264E+18,negative,RT HALF Raiders 17 Chargers 14 Philip Rivers has thrown four interceptions Only two of them have counted The Raiders,-1
67,1.19264E+18,neutral,Chargers no es contendiente al SuperBowl Proyect 4 victorias a OAK y 11 a ATL Por qu me acusas en la 1ra,0
68,1.19264E+18,negative,RT Melvin Ingram shoulder is QUESTIONABLE to return Chargers,-1
69,1.19264E+18,negative,RT HALF Raiders 17 Chargers 14 Philip Rivers has thrown four interceptions Only two of them have counted The Raiders,-1
70,1.19264E+18,positive,What s the point of that run up the middle to end the half There s a better chance that Melvin Gordon or a lineman,1
71,1.19264E+18,positive,RT Ingram headed straight to the locker room but walking on his own power Chargers LACvsOAK,1
72,1.19264E+18,neutral,RT If Austin Ekeler s TD in Nashville was overturned this one should be too Chargers,0
73,1.19264E+18,negative,i bought a chargers jersey i did it he s the son of the first friend i had in alabama it s weird on,-1
74,1.19264E+18,positive,Only 48 of our poll has the Chargers winning Will they comeback,1
75,1.19264E+18,negative,RT HALF Raiders 17 Chargers 14 Philip Rivers has thrown four interceptions Only two of them have counted The Raiders,-1
76,1.19264E+18,negative,RT At the half Raiders 17 Chargers 14 LACvsOak RaiderNation BoltUp ThursdayNightFootball What halftime adjustm,-1
77,1.19264E+18,positive,Raiders Vs Chargers Nfl Way to keep clawing nice score before the Half oakland,1
