,Tweet ID,Sentiment,Tweet Text,Tweet Label
0,1192826439852331008,positive,RT To be happy is to howl FridayFeeling,1
1,1192826437939499008,positive,RT In the beginning there was only one place called Anami Lok Supreme God used to live alone in the Anami lok God Kabir,1
2,1192826433271455745,neutral,RT Just saying FridayFeeling FridayThoughts FridayVibes,0
3,1192826432738578437,neutral,RT cup FridayFeeling Be you BrewCrew This world needs the gift that is you,0
4,1192826430012502016,positive,Too many people wishing for my down fall I live my life for me not for you use your energy to clear your way s,1
5,1192826420097093635,neutral,If money make you feel like a boss to your niqqa you re a puta FridayFeeling FridayMotivation FridayThoughts DeathStranding,0
6,1192826418176155650,neutral,RT FridayFeeling,0
7,1192826418125778946,positive,RT FridayFeeling so happy for my girl Shamrock Rose Sold for 2 5 million FTNov,1
8,1192826417677053953,positive,RT Hello and happy Friday To win one of our fantastic Christmas gifts please follow us retweet and like this post The,1
9,1192826417530187776,negative,Can we please stop with the Screaming basic lady and the bewildered cat memes boring FridayFeeling,-1
10,1192826416892645376,positive,DjSlamTurntableWizardIndamix FunkyFriday W NowPlayingOnStarFm Easy by,1
11,1192826416343257090,positive,Love deserted beaches This one s for you Discover Menorca s hidden coast best secluded beaches amp bays,1
12,1192826415810596866,positive,RT Not quite that FridayFeeling for Exeter s Pierce Sweeney who managed to smash his own windscreen after blazing one over t,1
13,1192826415177195520,positive,And another Friday shout out to some more of SiteReportPro recent followers ltd,1
14,1192826414703104001,neutral,RT FridayFeeling,0
15,1192826413784563712,neutral,RT That FridayFeeling,0
16,1192826412564135938,positive,RT Of the top 4 Democratic presidential candidates who is the most likely to drop out before SuperTuesday FridayMorning Frida,1
17,1192826405689667584,neutral,RT A se mo states mo Friday is iSpoti day TGIF FridayMotivation FridayFeeling Friyay,0
18,1192826405211369473,positive,RT FlashbackFriday A Kind Gentle Peaceful amp Brilliant Man Used To Be Our President He Made Us All Proud Reflecting on How Beaut,1
19,1192826404016185345,neutral,RT If you don t think something like that could ever happen consider this it s happened before to of all people Ma,0
20,1192826398915866628,neutral,RT Pakora Just a horse grazing at the GB Scouts camp in Shandur Polo Festival where all the players and their horses were resting,0
21,1192826398051840002,neutral,RT Perrone Number of people who go Bankrupt EVERY Year by nation because of Medical Bills 0 0 0 0 0,0
22,1192826396890083330,positive,We absolutely adore this post shared by of the lovely message left on their communal whiteboard W,1
23,1192826393488437249,positive,Happy Friday everyone Peace love and good vibes to everyone today I am waking up with coffee and weed and music,1
24,1192826391546486791,neutral,RT UltimateMorningShow w NP Karma FridayFeeling RaypowerNigeria,0
25,1192826389436805120,neutral,FridayMotivation FridayFeeling FridayThoughts TachaHomecoming Ikeonyema NightOfMercyLagos,0
26,1192826387478040576,positive,RT Not quite that FridayFeeling for Exeter s Pierce Sweeney who managed to smash his own windscreen after blazing one over t,1
27,1192826386014253056,negative,RT FridayFeeling I live in a well insulated home yet left the heating on last night because it was so cold The thought o,-1
28,1192826385657671680,positive,RT To be happy is to howl FridayFeeling,1
29,1192826382562349063,positive,RT Hero amp Genius discussing foreign policy amp Russia with a tv NY high school student November 2 2016 Fri,1
30,1192826379684986881,negative,RT Mexican police officer who arrested drug lord El Chapo s son was brutally gunned down in hail,-1
31,1192826376270811137,neutral,It s raining but we don t care FridayFeeling weirdmeme,0
32,1192826373137719299,positive,ILOVEWolves VoteWolf BanTrophyHunting Maligned Misunderstood family Community intelligent Communication,1
33,1192826367731261442,neutral,RT FridayFeeling,0
34,1192826366951133185,neutral,RT arts Mention all those petty friends FridayFeeling FridayThoughts BedroomBully,0
35,1192826365168377856,positive,RT Whatever you do don t get StepDownJimJordan trending It would hurt Jordan s feelings and no one wants that JimJo,1
36,1192826362496765960,neutral,DeMonetisationDisaster AajTak FridayFeeling,0
37,1192826361737547777,neutral,RT FridayFeeling GodMorning Smoker,0
38,1192826360126988289,neutral,RT Twitter Bullshit Alert The same blue checks who are covering up the murder of Jeffrey Epstein are about to spend the day maki,0
39,1192826355425202181,negative,Open environment gets me every year Girl who sits next to me was sick earlier this week now I m sick Ben Frankli,-1
40,1192826355324461057,neutral,RT I see terrified dinosaurs realizing the meteorite is on its way the dilated pupils in the eyes of leadened lumbering p,0
41,1192826355097817088,neutral,RT You have to believe it before you see it FridayFeeling FridayThoughts Believe FF,0
42,1192826352312999937,positive,RT alpacas Lovely on my walk this morning with Autumn colours in Cambridgeshire,1
43,1192826349150490627,positive,RT FridayFeeling FridayThoughts FreebieFriday FreeCodeFriday FreeCodeFridayContest giveaway WIN 1 of 3 NFSHeat codes,1
44,1192826349116952582,positive,RT To be happy is to howl FridayFeeling,1
45,1192826347984306176,neutral,Acoustic version of LEAVE THIS NOW Guitar Indie NewMusic Acoustic Rock pop film art guitar network,0
46,1192826342435442688,neutral,Thoughts from trailblazing American make up artist writer amp photographer Kevyn Aucoin a proponent of the philosop,0
47,1192826341659418624,neutral,FridayFeeling,0
48,1192826340388401152,neutral,RT Hahahahah made me chuckled me head off that FridayFeeling,0
49,1192826336894758915,neutral,RT insanM TonicForWillpower FridayMotivation,0
50,1192826335770505216,neutral,RT If you don t think something like that could ever happen consider this it s happened before to of all people Ma,0
51,1192826327105179648,positive,RT Hello and happy Friday To win one of our fantastic Christmas gifts please follow us retweet and like this post The,1
52,1192826323514937344,neutral,The sprinkles on the Toasted White Chocolate Mocha Frappuccino made my morning FridayFeeling,0
53,1192826319270301696,neutral,The fourth industrial revolution can evolve the workplace FrontAndCentered FridayFeeling,0
54,1192826319035412480,neutral,RT FridayFeeling,0
55,1192826316380200960,negative,If someone is talking badly about you rather than confronting them with words I believe it s a better use of your,-1
56,1192826313679265792,positive,RT Hillary Clinton wouldn t have been capable of the malice and malpractice Donald Trump is capable of simply because she,1
57,1192826313226231809,positive,RT Another photo from early this morning Cloud sweeping across the view from Glastonbury Tor have a great weekend ever,1
58,1192826312743936000,positive,RT Friday Friendly Reminder Today will never come again Be a blessing Be a friend Encourage someone Take time to care L,1
59,1192826310193766400,neutral,RT Perrone Number of people who go Bankrupt EVERY Year by nation because of Medical Bills 0 0 0 0 0,0
60,1192826310135033856,neutral,RT If you don t think something like that could ever happen consider this it s happened before to of all people Ma,0
